Name,Бюджет и сборы,Возраст,Год выпуска,Диснейленд,Жанр,Исполнители,Награды,Персонажи,Песни,Продолжительность,Рейтинг,Студия,Тип
Золушка: Магия доброты,$95 млн / $543 млн,6+,2015,Magic Kingdom (https://www.notion.so/Magic-Kingdom-29dc10ae8c75805cb283f4b4b5b053cc?pvs=21),"Романтика, Семейный, Фэнтези","Лили Джеймс (https://www.notion.so/29ac10ae8c7580d985bcc1e2b0b258d0?pvs=21), Кейт Бланшетт (https://www.notion.so/29ac10ae8c75802eb15acc82b8417c78?pvs=21), Хелена Бонем Картер (https://www.notion.so/29ac10ae8c75806dab57cd9a43f0181a?pvs=21)",Номинация на «Оскар» за костюмы,"Элла / Золушка (https://www.notion.so/298c10ae8c7580c69ccef7a2ab66cba7?pvs=21), Леди Тремейн / Мачеха (https://www.notion.so/298c10ae8c75806d91ebe17ff7cb9309?pvs=21), Фея-крёстная  (https://www.notion.so/298c10ae8c7580218afbd1bd1cef5c33?pvs=21)","Lavender's Blue (Dilly Dilly) (https://www.notion.so/Lavender-s-Blue-Dilly-Dilly-29dc10ae8c75805a9fd0deb63a306105?pvs=21), Bibbidi-Bobbidi-Boo (https://www.notion.so/Bibbidi-Bobbidi-Boo-29dc10ae8c7580f4a535f456edbf6d2f?pvs=21)",105 мин,6.9/10,"
Walt Disney Pictures (https://www.notion.so/Walt-Disney-Pictures-29bc10ae8c75805b8092e1738bf08839?pvs=21)",Фильм
Чем дальше в лес...,$50 млн / $213 млн,12+,2014,Magic Kingdom (https://www.notion.so/Magic-Kingdom-29dc10ae8c75805cb283f4b4b5b053cc?pvs=21),"Мьюзикл, Семейный, Фэнтези","Мерил Стрип (https://www.notion.so/29ac10ae8c758052b5a7ebad298b0df5?pvs=21), Эмили Блант (https://www.notion.so/29ac10ae8c7580c5ad13ee07271ed822?pvs=21), Лилла Кроуфорд (https://www.notion.so/29ac10ae8c7580d08a8cd5ce8e3d5c10?pvs=21)","3 номинации на «Оскар», 3 номинации на «Золотой глобус»","Ведьма (https://www.notion.so/298c10ae8c758078a373ef632875f5ec?pvs=21), Жена Пекаря (https://www.notion.so/298c10ae8c7580d2a1d6f92e762732d6?pvs=21), Красная Шапочка (https://www.notion.so/298c10ae8c75801598b1ef8d83a4b318?pvs=21)","Stay with Me (https://www.notion.so/Stay-with-Me-29dc10ae8c7580eca5d4eded6282fc12?pvs=21), I Know Things Now (https://www.notion.so/I-Know-Things-Now-29dc10ae8c7580caae1cc4672e7aada3?pvs=21), Moments in the Woods (https://www.notion.so/Moments-in-the-Woods-29dc10ae8c758078820ee263d4b90e40?pvs=21)",125 мин,6.0/10,"
Walt Disney Pictures (https://www.notion.so/Walt-Disney-Pictures-29bc10ae8c75805b8092e1738bf08839?pvs=21)",Фильм
Малефисента: Владычица тьмы,$185 млн / $491 млн,12+,2019,Disneyland Park (https://www.notion.so/Disneyland-Park-29dc10ae8c758014b1edc479346cd811?pvs=21),"Приключения, Семейный, Фэнтези","Анджелина Джоли (https://www.notion.so/29ac10ae8c758060b69fe74adb9ecff8?pvs=21), Эль Фэннинг (https://www.notion.so/29ac10ae8c7580c6b70ee9e98c6022b5?pvs=21), Сэм Райли (https://www.notion.so/29ac10ae8c7580958c6afe86ed806589?pvs=21), Мишель Пфайффер (https://www.notion.so/29ac10ae8c758072ab6ef144ca0d3ad0?pvs=21)",Номинация на «Оскар» за лучший грим и причёски,"Фея Малефисента (https://www.notion.so/298c10ae8c75809db987e12d583d6fe6?pvs=21), Принцесса Аврора (https://www.notion.so/298c10ae8c758084bd4ec683d1e249b6?pvs=21), Диаваль (https://www.notion.so/298c10ae8c7580229cbad9f60a10d82e?pvs=21), Королева Ингрит (https://www.notion.so/298c10ae8c75803596b2df566c92bdea?pvs=21)",You Can't Stop the Girl (https://www.notion.so/You-Can-t-Stop-the-Girl-29dc10ae8c7580b3ab94c24d561f01c2?pvs=21),119 мин,6.6/10,"
Walt Disney Pictures (https://www.notion.so/Walt-Disney-Pictures-29bc10ae8c75805b8092e1738bf08839?pvs=21)",Фильм
Круэлла,$100 млн / $233 млн,12+,2021,EPCOT (https://www.notion.so/EPCOT-29dc10ae8c7580158333d8928f7165ba?pvs=21),"Драма, Комедия, Криминал","Эмма Стоун (https://www.notion.so/29ac10ae8c7580138019ee8a47b5d163?pvs=21), Эмма Томпсон (https://www.notion.so/29ac10ae8c758068a8c2ddd369d0bc25?pvs=21)",Премия «Оскар» за лучший дизайн костюмов,"Круэлла / Эстелла (https://www.notion.so/298c10ae8c7580a78b50fe66696fa517?pvs=21), Баронесса фон Хеллман (https://www.notion.so/298c10ae8c7580cca522f4db37d427f0?pvs=21)","Call me Cruella (https://www.notion.so/Call-me-Cruella-29dc10ae8c758021a22bebe767df986b?pvs=21), These Boots Are Made for Walkin’ (https://www.notion.so/These-Boots-Are-Made-for-Walkin-29dc10ae8c75806bab47db1adc342c6d?pvs=21)",134 ми,7.3/10,"
Walt Disney Pictures (https://www.notion.so/Walt-Disney-Pictures-29bc10ae8c75805b8092e1738bf08839?pvs=21)",Фильм
Русалочка: история Ариэль,$250 млн / $570 млн,6+,2023,Disney California Adventure Park (https://www.notion.so/Disney-California-Adventure-Park-29dc10ae8c7580b7a0f6f216dfabb085?pvs=21),"Мьюзикл, Семейный, Фэнтези","Холли Бейли (https://www.notion.so/29ac10ae8c7580f0aa19e296139ccb45?pvs=21), Джона Хауэр-Кинг (https://www.notion.so/29ac10ae8c7580619f0ae34123cc28f0?pvs=21), Мелисса Маккарти (https://www.notion.so/29ac10ae8c758044ba88d740666a4f77?pvs=21), Хавьер Бардем (https://www.notion.so/29ac10ae8c7580b18101e539096e55ac?pvs=21)",Номинация на «Оскар» за лучший дизайн костюмов,"Русалочка Ариэль (https://www.notion.so/298c10ae8c7580f1bd19c19982d1232c?pvs=21), Принц Эрик (https://www.notion.so/298c10ae8c75805fa9a0d5a05caf727f?pvs=21), Ведьма Урсула (https://www.notion.so/298c10ae8c75803f8acee68af4f0c4ec?pvs=21), Царь Тритон (https://www.notion.so/298c10ae8c75803f8fd0fcad2c9e1581?pvs=21)","Vanessa's Song (Part of Your World Reprise) (https://www.notion.so/Vanessa-s-Song-Part-of-Your-World-Reprise-29dc10ae8c75804c818ccc2525afa238?pvs=21), For the First Time (https://www.notion.so/For-the-First-Time-29dc10ae8c758029a6c9e43123c7af5d?pvs=21)",125 ми,7.0/10,"
Walt Disney Pictures (https://www.notion.so/Walt-Disney-Pictures-29bc10ae8c75805b8092e1738bf08839?pvs=21)",Фильм
Пираты Карибского моря: Сундук мертвеца,"$225 млн / $1,066 млрд",12+,2006,Shanghai Disneyland (https://www.notion.so/Shanghai-Disneyland-29dc10ae8c758034b1f4ff1b6e58074d?pvs=21),"Приключения, Фэнтези, Экшн","Кевин Макнелли (https://www.notion.so/29ac10ae8c7580cba538d9462695a077?pvs=21), Орландо Блум (https://www.notion.so/29ac10ae8c7580c29931dbf5f1a4e79c?pvs=21), Кира Найтли (https://www.notion.so/29ac10ae8c75808fab37c580dafd183b?pvs=21), Джеффри Раш (https://www.notion.so/29ac10ae8c758044a45bc565ae9f1f1c?pvs=21), Джонни Депп (https://www.notion.so/29ac10ae8c75806f894bd69ec8ae6974?pvs=21), Билл Найи (https://www.notion.so/29ac10ae8c75809ea6bdfd5b19f5cf54?pvs=21)",Премия «Оскар» за лучшие визуальные эффекты,"Капитан Джек Воробей (https://www.notion.so/298c10ae8c7580b9a6fdeb40ea578a0f?pvs=21), Уилл Тёрнер (https://www.notion.so/298c10ae8c75806fb6eff973fa7bfae0?pvs=21), Элизабет Суонн  (https://www.notion.so/298c10ae8c758043961dd830fef4e63f?pvs=21), Капитан Гектор Барбосса (https://www.notion.so/298c10ae8c7580639eb8c26368963a29?pvs=21), Дэйви Джонс (https://www.notion.so/298c10ae8c7580468114c01243445ad7?pvs=21), Джошами Гиббс (https://www.notion.so/298c10ae8c758010b7f0cd1f8f0cf8f7?pvs=21)",Yo Ho (A Pirate's Life for Me) (https://www.notion.so/Yo-Ho-A-Pirate-s-Life-for-Me-29dc10ae8c75805f88d6cd5814c22433?pvs=21),150 мин,7.7/10,"
Walt Disney Pictures (https://www.notion.so/Walt-Disney-Pictures-29bc10ae8c75805b8092e1738bf08839?pvs=21)",Фильм
Пираты Карибского моря: На краю света,$300 млн / $960 млн,12+,2007,Shanghai Disneyland (https://www.notion.so/Shanghai-Disneyland-29dc10ae8c758034b1f4ff1b6e58074d?pvs=21),"Приключения, Фэнтези, Экшн","Кевин Макнелли (https://www.notion.so/29ac10ae8c7580cba538d9462695a077?pvs=21), Орландо Блум (https://www.notion.so/29ac10ae8c7580c29931dbf5f1a4e79c?pvs=21), Кира Найтли (https://www.notion.so/29ac10ae8c75808fab37c580dafd183b?pvs=21), Джеффри Раш (https://www.notion.so/29ac10ae8c758044a45bc565ae9f1f1c?pvs=21), Джонни Депп (https://www.notion.so/29ac10ae8c75806f894bd69ec8ae6974?pvs=21), Билл Найи (https://www.notion.so/29ac10ae8c75809ea6bdfd5b19f5cf54?pvs=21)","2 номинации на «Оскар» (грим, визуальные эффекты)","Капитан Джек Воробей (https://www.notion.so/298c10ae8c7580b9a6fdeb40ea578a0f?pvs=21), Уилл Тёрнер (https://www.notion.so/298c10ae8c75806fb6eff973fa7bfae0?pvs=21), Элизабет Суонн  (https://www.notion.so/298c10ae8c758043961dd830fef4e63f?pvs=21), Капитан Гектор Барбосса (https://www.notion.so/298c10ae8c7580639eb8c26368963a29?pvs=21), Дэйви Джонс (https://www.notion.so/298c10ae8c7580468114c01243445ad7?pvs=21), Джошами Гиббс (https://www.notion.so/298c10ae8c758010b7f0cd1f8f0cf8f7?pvs=21)",Yo Ho (A Pirate's Life for Me) (https://www.notion.so/Yo-Ho-A-Pirate-s-Life-for-Me-29dc10ae8c75805f88d6cd5814c22433?pvs=21),169 мин,7.1/10,"
Walt Disney Pictures (https://www.notion.so/Walt-Disney-Pictures-29bc10ae8c75805b8092e1738bf08839?pvs=21)",Фильм
Пираты Карибского моря: На странных берегах,"$379 млн / $1,046 млрд",12+,2011,Shanghai Disneyland (https://www.notion.so/Shanghai-Disneyland-29dc10ae8c758034b1f4ff1b6e58074d?pvs=21),"Приключения, Фэнтези, Экшн","Кевин Макнелли (https://www.notion.so/29ac10ae8c7580cba538d9462695a077?pvs=21), Джеффри Раш (https://www.notion.so/29ac10ae8c758044a45bc565ae9f1f1c?pvs=21), Джонни Депп (https://www.notion.so/29ac10ae8c75806f894bd69ec8ae6974?pvs=21), Иэн Макшейн (https://www.notion.so/29ac10ae8c7580b7874cd5b0675775d4?pvs=21), Пенелопа Крус (https://www.notion.so/29ac10ae8c758048a58fef16949bd35d?pvs=21)",Номинации на премии за визуальные эффекты и трюки,"Капитан Джек Воробей (https://www.notion.so/298c10ae8c7580b9a6fdeb40ea578a0f?pvs=21), Капитан Гектор Барбосса (https://www.notion.so/298c10ae8c7580639eb8c26368963a29?pvs=21), Анжелика (https://www.notion.so/298c10ae8c7580d288bfe06a7e398a76?pvs=21), Чёрная Борода  (https://www.notion.so/298c10ae8c7580338091c88e31c9d1ed?pvs=21), Джошами Гиббс (https://www.notion.so/298c10ae8c758010b7f0cd1f8f0cf8f7?pvs=21)",Yo Ho (A Pirate's Life for Me) (https://www.notion.so/Yo-Ho-A-Pirate-s-Life-for-Me-29dc10ae8c75805f88d6cd5814c22433?pvs=21),136 мин,6.6/10,"
Walt Disney Pictures (https://www.notion.so/Walt-Disney-Pictures-29bc10ae8c75805b8092e1738bf08839?pvs=21)",Фильм
Пираты Карибского моря: Мертвецы не рассказывают сказки,$230 млн / $795 млн,16+,2017,Shanghai Disneyland (https://www.notion.so/Shanghai-Disneyland-29dc10ae8c758034b1f4ff1b6e58074d?pvs=21),"Приключения, Фэнтези, Экшн","Кевин Макнелли (https://www.notion.so/29ac10ae8c7580cba538d9462695a077?pvs=21), Орландо Блум (https://www.notion.so/29ac10ae8c7580c29931dbf5f1a4e79c?pvs=21), Кира Найтли (https://www.notion.so/29ac10ae8c75808fab37c580dafd183b?pvs=21), Джонни Депп (https://www.notion.so/29ac10ae8c75806f894bd69ec8ae6974?pvs=21), Пенелопа Крус (https://www.notion.so/29ac10ae8c758048a58fef16949bd35d?pvs=21), Хавьер Бардем (https://www.notion.so/29ac10ae8c7580b18101e539096e55ac?pvs=21)",Номинации на премии за экшн-сцены и визуальные эффекты,"Капитан Джек Воробей (https://www.notion.so/298c10ae8c7580b9a6fdeb40ea578a0f?pvs=21), Уилл Тёрнер (https://www.notion.so/298c10ae8c75806fb6eff973fa7bfae0?pvs=21), Элизабет Суонн  (https://www.notion.so/298c10ae8c758043961dd830fef4e63f?pvs=21), Анжелика (https://www.notion.so/298c10ae8c7580d288bfe06a7e398a76?pvs=21), Капитан Армандо Салазар  (https://www.notion.so/298c10ae8c7580c28211e6062ad90350?pvs=21), Джошами Гиббс (https://www.notion.so/298c10ae8c758010b7f0cd1f8f0cf8f7?pvs=21)",Yo Ho (A Pirate's Life for Me) (https://www.notion.so/Yo-Ho-A-Pirate-s-Life-for-Me-29dc10ae8c75805f88d6cd5814c22433?pvs=21),129 мин,6.5/10,"
Walt Disney Pictures (https://www.notion.so/Walt-Disney-Pictures-29bc10ae8c75805b8092e1738bf08839?pvs=21)",Фильм
"История игрушек ",$30 млн / $394 млн,6+,1995,Disney's Hollywood Studios (https://www.notion.so/Disney-s-Hollywood-Studios-29dc10ae8c75800cb117c96355bfc898?pvs=21),"Комедия, Приключения, Семейный","Том Хэнкс (https://www.notion.so/299c10ae8c758002a9d9c7922eb6be19?pvs=21), Тим Аллен (https://www.notion.so/299c10ae8c758062b7a8f77ef4410f12?pvs=21)","Почётный «Оскар» за инновации, 3 номинации на «Оскар»","Вудди (https://www.notion.so/296c10ae8c758045aa57dc094b4c352d?pvs=21), Базз Лайтер (https://www.notion.so/296c10ae8c7580cd8d02d6845ff9affa?pvs=21)",You've Got a Friend in Me (https://www.notion.so/You-ve-Got-a-Friend-in-Me-29cc10ae8c7580aba634df452acdf038?pvs=21),81 мин,8.3/10,"
Pixar Animation Studios (https://www.notion.so/Pixar-Animation-Studios-29bc10ae8c758092a229ef696d94f940?pvs=21)",Мультфильм
История игрушек 3,"$200 млн / $1,067 млрд",6+,2010,Disney's Hollywood Studios (https://www.notion.so/Disney-s-Hollywood-Studios-29dc10ae8c75800cb117c96355bfc898?pvs=21),"Драма, Приключения, Семейный","Джоди Бенсон (https://www.notion.so/299c10ae8c758089bf23c9b5bfb19b61?pvs=21), Том Хэнкс (https://www.notion.so/299c10ae8c758002a9d9c7922eb6be19?pvs=21), Тим Аллен (https://www.notion.so/299c10ae8c758062b7a8f77ef4410f12?pvs=21), Джоан Кьюсак (https://www.notion.so/299c10ae8c7580d0ab8ccc59ac91e76f?pvs=21), Нед Битти (https://www.notion.so/299c10ae8c7580e08cc8f9926886cb92?pvs=21)","2 премии «Оскар» (лучший анимационный фильм, лучшая песня)","Вудди (https://www.notion.so/296c10ae8c758045aa57dc094b4c352d?pvs=21), Базз Лайтер (https://www.notion.so/296c10ae8c7580cd8d02d6845ff9affa?pvs=21), Джесси (https://www.notion.so/298c10ae8c7580e49c05ca40a9867069?pvs=21), Лотсо (Мишка-Обнимашка) (https://www.notion.so/298c10ae8c758048ba38c6c6d0c554f4?pvs=21)","You've Got a Friend in Me (https://www.notion.so/You-ve-Got-a-Friend-in-Me-29cc10ae8c7580aba634df452acdf038?pvs=21), We Belong Together (https://www.notion.so/We-Belong-Together-29cc10ae8c7580eea765d046e1505cfa?pvs=21)",103 мин,8.3/10,"
Pixar Animation Studios (https://www.notion.so/Pixar-Animation-Studios-29bc10ae8c758092a229ef696d94f940?pvs=21)",Мультфильм
История игрушек 4,"$200 млн / $1,073 млрд",6+,2019,Disney's Hollywood Studios (https://www.notion.so/Disney-s-Hollywood-Studios-29dc10ae8c75800cb117c96355bfc898?pvs=21),"Приключения, Семейный","Том Хэнкс (https://www.notion.so/299c10ae8c758002a9d9c7922eb6be19?pvs=21), Тим Аллен (https://www.notion.so/299c10ae8c758062b7a8f77ef4410f12?pvs=21), Джоан Кьюсак (https://www.notion.so/299c10ae8c7580d0ab8ccc59ac91e76f?pvs=21), Кристина Хендрикс (https://www.notion.so/299c10ae8c7580c38099db5651dedbe1?pvs=21)",Премия «Оскар» за лучший анимационный фильм,"Вудди (https://www.notion.so/296c10ae8c758045aa57dc094b4c352d?pvs=21), Базз Лайтер (https://www.notion.so/296c10ae8c7580cd8d02d6845ff9affa?pvs=21), Джесси (https://www.notion.so/298c10ae8c7580e49c05ca40a9867069?pvs=21), Габби Габби (https://www.notion.so/298c10ae8c75800389d9c756b2275586?pvs=21)","You've Got a Friend in Me (https://www.notion.so/You-ve-Got-a-Friend-in-Me-29cc10ae8c7580aba634df452acdf038?pvs=21), I Can't Let You Get Away (https://www.notion.so/I-Can-t-Let-You-Get-Away-29cc10ae8c75803687c2f05ccc59908f?pvs=21)",100 мин,7.7/10,"
Pixar Animation Studios (https://www.notion.so/Pixar-Animation-Studios-29bc10ae8c758092a229ef696d94f940?pvs=21)",Мультфильм
